Suburb_Cod,Census_2011,easting,northing,x,y,totpedcr,totpedcr_after,ksi,popu,logpopu,popudens,children,yadults,hdpg,loweduc,avgeduc,informdwe,lowinc,unemplorate,lum,comuse,locbuse,gbuse,ginduse,freexpres,arterials,locdistr,rdnetwork,psl60,psl80,psl100,avgpsl,rintocul,int4plusleg,signalint,pctsingalint,intdens,linintdens,strdens,busrtes,brtrtes,railsta,mbustaxirtes,distocbd,nonrezuse
190,Zonnebloem,-52430.28926,-3756239.018,18.432936,-33.931778,98,28,25,5421,3.734,3824.068,15.110,26.324,72.828,6.043,65.419,0.277,46.481,14.782,0.546,30.162,0.000,22.949,0.000,3.343,2.649,0.000,26.591,98.395,5.898,0.000,60.070,4.359,39.000,13.000,7.647,119.920,6.393,18.758,177.221,22.340,0.000,109.054,2.300,53.110
90,Lavender Hill,-47265.55653,-3771905.934,18.487946,-34.07326,118,37,26,32861,4.517,15674.781,28.371,18.785,99.245,25.499,73.118,13.881,78.886,41.111,0.442,36.057,0.000,1.191,0.000,0.000,3.505,0.000,44.137,99.182,0.000,0.000,60.360,9.800,65.000,2.000,0.680,140.238,6.661,21.053,59.908,0.000,0.000,70.369,23.100,37.250
179,Vrygrond,-47471.09565,-3773029.56,18.485658,-34.083379,60,10,26,19784,4.296,20634.312,29.585,18.454,93.721,22.124,74.581,32.949,90.267,28.325,0.366,9.947,0.000,0.328,0.000,0.000,1.678,0.000,15.112,100.000,0.000,0.000,60.410,1.667,11.000,0.000,0.000,99.082,6.286,15.761,6.033,0.000,0.000,25.557,24.500,10.280
3,Atlantis,-48151.75506,-3716400.247,18.481375,-33.572827,105,61,28,68709,4.837,2382.115,28.092,18.257,98.230,18.395,78.267,11.750,66.590,25.545,0.555,147.024,9.649,26.310,916.792,0.000,20.820,23.011,192.682,98.540,2.838,0.000,59.790,4.468,125.000,0.000,0.000,23.853,3.571,6.680,1262.521,162.409,0.000,636.332,49.600,1099.770
89,Lansdowne,-45973.4165,-3762984.828,18.502414,-33.992894,152,61,28,18879,4.276,4106.458,21.478,14.823,84.450,5.887,67.080,0.774,25.874,9.105,0.381,32.193,5.019,11.511,19.503,5.210,9.509,0.000,79.804,99.999,6.792,6.792,60.500,8.950,123.000,8.000,2.235,77.869,4.486,17.358,482.529,0.000,1.000,228.736,15.700,68.220
62,Green Point,-54862.93066,-3753452.363,18.406801,-33.906533,115,23,29,9938,3.997,3771.874,8.950,11.538,33.521,1.893,40.233,0.045,20.239,5.144,0.473,29.949,0.074,12.129,0.000,1.729,8.199,3.973,39.211,94.110,0.000,0.000,59.320,3.554,33.000,12.000,5.195,87.674,5.891,14.882,75.662,64.779,0.000,86.360,3.000,42.150
107,Montague Gardens,-44071.66131,-3748362.317,18.523731,-33.861153,101,27,29,24,1.377,5.623,0.000,16.372,100.000,22.952,45.888,0.000,100.000,17.532,0.304,0.000,0.000,79.132,289.868,4.372,4.345,5.474,36.873,100.000,8.822,8.822,61.250,5.375,23.000,14.000,16.279,20.308,2.332,8.707,929.016,14.095,0.000,504.392,15.600,369.000
168,Table View,-46522.77402,-3744443.423,18.497452,-33.825717,135,42,29,27746,4.443,3006.837,17.588,13.259,21.260,1.602,59.332,0.070,18.920,5.865,0.461,72.721,0.306,32.354,0.000,4.377,13.549,7.793,131.140,97.392,0.034,0.034,57.670,1.987,107.000,14.000,1.840,82.469,5.803,14.212,935.609,86.156,0.000,821.364,19.300,105.380
43,Durbanville,-31979.20714,-3744764.942,18.65454,-33.829157,134,44,30,43635,4.640,2004.684,20.271,11.493,17.275,2.524,46.444,0.146,15.912,3.759,0.477,40.338,0.000,58.474,0.000,0.000,28.880,24.086,257.449,84.025,0.401,0.106,51.040,2.446,179.000,20.000,1.665,55.177,4.665,11.828,204.484,0.000,0.000,129.158,29.400,98.810
138,Retreat,-48651.67856,-3770629.484,18.473001,-34.061689,178,63,31,36235,4.559,5882.533,23.031,15.728,95.307,15.901,74.922,4.245,49.151,16.919,0.437,53.994,0.792,24.962,49.733,0.467,9.515,0.005,87.600,99.671,0.000,0.000,59.980,5.762,104.000,11.000,2.273,78.575,5.525,14.221,135.012,0.000,2.000,168.902,22.500,129.470
30,Claremont,-48781.46827,-3762003.737,18.472077,-33.983922,177,54,38,18268,4.262,3504.724,15.816,19.044,32.053,1.767,38.554,0.063,18.679,4.514,0.416,21.813,0.372,49.245,12.212,3.578,12.789,0.000,99.012,99.740,0.663,0.663,60.070,5.106,161.000,27.000,4.299,120.485,6.343,18.996,395.395,0.000,2.000,177.689,12.900,83.640
47,Epping Industria,-41908.85921,-3756478.049,18.546716,-33.934404,200,91,41,52,1.715,8.390,23.926,11.063,95.978,29.804,70.196,0.000,0.000,0.000,0.204,0.494,0.256,3.348,433.524,8.699,1.615,11.700,38.547,100.000,0.000,0.000,60.260,2.007,39.000,8.000,2.847,45.495,7.290,6.241,861.260,0.000,2.000,162.637,17.600,437.620
186,Wynberg,-49312.43213,-3764489.271,18.466192,-34.006305,244,93,41,15068,4.178,2974.685,18.851,14.791,69.904,4.971,62.194,0.265,28.575,8.654,0.597,39.422,0.571,32.376,0.000,5.191,11.396,0.000,75.269,91.340,5.698,4.733,57.730,3.385,87.000,17.000,3.864,86.866,5.846,14.860,235.374,0.000,2.000,164.303,14.600,72.370
25,Cape Town International Airport,-36331.29029,-3760600.581,18.606871,-33.971778,131,64,42,0,#NUM!,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,10.123,238.190,21.179,4.870,0.002,52.267,86.510,24.472,20.580,63.480,2.969,29.000,10.000,5.181,11.222,3.693,3.039,1381.128,45.281,0.000,345.646,22.700,248.310
92,Lotus River,-44936.87799,-3767575.505,18.513397,-34.034324,169,67,42,38481,4.585,7682.805,24.962,16.327,96.955,17.223,75.449,2.021,52.300,18.927,0.465,68.961,0.000,8.844,3.707,0.000,8.712,0.103,71.552,99.927,0.000,0.000,60.060,3.299,58.000,10.000,2.591,77.066,5.395,14.286,175.731,0.000,0.000,66.247,22.100,81.510
64,Hanover Park,-43603.05548,-3762883.34,18.528074,-33.99208,144,42,45,45757,4.660,11514.355,27.824,17.576,98.711,22.250,74.139,4.435,73.686,34.702,0.438,64.546,0.717,5.571,22.158,2.423,4.318,0.014,76.167,100.000,1.361,0.000,60.070,6.444,59.000,13.000,2.802,116.761,6.092,19.167,681.817,1.962,0.000,190.641,17.800,93.000
93,Macassar,-23671.34661,-3770026.932,18.743603,-34.05712,199,61,46,32820,4.516,1213.219,28.657,17.464,97.984,22.971,73.374,7.480,67.313,22.972,0.442,56.092,0.000,15.920,70.680,18.919,15.947,0.002,110.628,98.431,20.612,18.868,61.610,3.000,49.000,2.000,0.702,10.535,2.576,4.089,569.287,0.000,0.000,217.691,39.300,142.690
151,Silvertown,-44016.13781,-3759047.048,18.523796,-33.957479,202,58,51,27346,4.437,5313.663,22.361,17.001,99.270,15.347,80.922,1.584,55.365,19.121,0.434,65.688,1.979,18.635,0.000,8.880,6.505,0.028,74.878,100.000,6.731,6.230,60.710,5.064,89.000,11.000,2.785,76.754,5.275,14.550,987.845,35.696,0.000,662.717,13.500,86.310
67,Heideveld,-41527.64458,-3759825.341,18.550681,-33.964596,192,30,53,21488,4.332,7689.435,24.362,17.645,97.544,19.969,72.794,5.063,59.949,29.266,0.448,53.868,1.940,1.317,0.000,7.182,6.104,0.020,53.971,98.032,5.300,4.235,59.920,11.409,34.000,12.000,4.781,89.820,4.651,19.313,1039.416,18.648,0.000,410.292,17.500,57.130
